#ZVView-data-copy:   2-Dec-2019 09:34:42
#=======================================
#
#name:   50-SN-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  34401
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     0.0086253            0       16.537       1.0981  # 1998,J.A.Harvey          ## 14194002  #dY:6.6%
     0.0086275            0       12.667      0.83933  # 1998,J.A.Harvey          ## 14194002  #dY:6.6%
     0.0086297            0        7.009      0.69955  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
     0.0086319            0       7.2867      0.63031  # 1998,J.A.Harvey          ## 14194002  #dY:8.7%
     0.0086341            0       4.5585      0.59069  # 1998,J.A.Harvey          ## 14194002  #dY:13.0%
     0.0086363            0       5.0403      0.57704  # 1998,J.A.Harvey          ## 14194002  #dY:11.4%
     0.0086385            0        5.206      0.54684  # 1998,J.A.Harvey          ## 14194002  #dY:10.5%
     0.0086407            0       4.8969      0.55409  # 1998,J.A.Harvey          ## 14194002  #dY:11.3%
     0.0086429            0       4.8984       0.5372  # 1998,J.A.Harvey          ## 14194002  #dY:11.0%
     0.0086451            0       3.9344      0.61958  # 1998,J.A.Harvey          ## 14194002  #dY:15.7%
     0.0086473            0         4.74       1.2329  # 1998,J.A.Harvey          ## 14194002  #dY:26.0%
     0.0086495            0       6.5443       2.0683  # 1998,J.A.Harvey          ## 14194002  #dY:31.6%
     0.0086517            0       3.7279       1.0827  # 1998,J.A.Harvey          ## 14194002  #dY:29.0%
     0.0086539            0       4.5038      0.81574  # 1998,J.A.Harvey          ## 14194002  #dY:18.1%
     0.0086562            0       5.0662      0.69623  # 1998,J.A.Harvey          ## 14194002  #dY:13.7%
     0.0086584            0       5.1594      0.66674  # 1998,J.A.Harvey          ## 14194002  #dY:12.9%
     0.0086606            0       5.3502      0.70403  # 1998,J.A.Harvey          ## 14194002  #dY:13.2%
     0.0086628            0        3.854      0.74628  # 1998,J.A.Harvey          ## 14194002  #dY:19.4%
      0.008665            0       4.2265      0.91667  # 1998,J.A.Harvey          ## 14194002  #dY:21.7%
     0.0086672            0       5.1393      0.84536  # 1998,J.A.Harvey          ## 14194002  #dY:16.4%
     0.0086694            0       3.0576      0.67515  # 1998,J.A.Harvey          ## 14194002  #dY:22.1%
     0.0086717            0        3.226      0.66571  # 1998,J.A.Harvey          ## 14194002  #dY:20.6%
     0.0086739            0       6.7872      0.68084  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
     0.0086761            0       7.0591      0.66626  # 1998,J.A.Harvey          ## 14194002  #dY:9.4%
     0.0086783            0         7.06      0.67167  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
     0.0086805            0       6.2155       0.6155  # 1998,J.A.Harvey          ## 14194002  #dY:9.9%
     0.0086828            0       3.9734      0.59857  # 1998,J.A.Harvey          ## 14194002  #dY:15.1%
      0.008685            0       4.4294      0.61983  # 1998,J.A.Harvey          ## 14194002  #dY:14.0%
     0.0086872            0       4.3493      0.58589  # 1998,J.A.Harvey          ## 14194002  #dY:13.5%
     0.0086894            0       5.4634      0.60222  # 1998,J.A.Harvey          ## 14194002  #dY:11.0%
     0.0086917            0       4.7122      0.61102  # 1998,J.A.Harvey          ## 14194002  #dY:13.0%
     0.0086939            0       4.1732      0.56221  # 1998,J.A.Harvey          ## 14194002  #dY:13.5%
     0.0086961            0       5.1835      0.56542  # 1998,J.A.Harvey          ## 14194002  #dY:10.9%
     0.0086983            0       5.6295      0.56563  # 1998,J.A.Harvey          ## 14194002  #dY:10.0%
     0.0087006            0       5.8947      0.56126  # 1998,J.A.Harvey          ## 14194002  #dY:9.5%
     0.0087028            0        7.418      0.54457  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
      0.008705            0        6.507      0.52336  # 1998,J.A.Harvey          ## 14194002  #dY:8.0%
     0.0087073            0       4.5297       0.5035  # 1998,J.A.Harvey          ## 14194002  #dY:11.1%
     0.0087095            0       4.2237      0.46453  # 1998,J.A.Harvey          ## 14194002  #dY:11.0%
     0.0087117            0       4.1028      0.43148  # 1998,J.A.Harvey          ## 14194002  #dY:10.5%
