EN          DATA        ERR-S       
MEV         B           B           
1.4210e+02  4.2230e+00  5.3510e-03  
1.4350e+02  4.1940e+00  5.3230e-03  
1.4490e+02  4.1630e+00  5.3000e-03  
1.4640e+02  4.1390e+00  5.2860e-03  
1.4790e+02  4.1110e+00  5.2540e-03  
1.4940e+02  4.0810e+00  5.2250e-03  
1.5090e+02  4.0490e+00  5.2020e-03  
1.5240e+02  4.0240e+00  5.1780e-03  
1.5390e+02  3.9960e+00  5.1540e-03  
1.5550e+02  3.9680e+00  5.1320e-03  
1.5700e+02  3.9420e+00  5.1170e-03  
1.5860e+02  3.9180e+00  5.1000e-03  
1.6020e+02  3.8950e+00  5.0840e-03  
1.6180e+02  3.8730e+00  5.0670e-03  
1.6340e+02  3.8390e+00  5.0310e-03  
1.6510e+02  3.8070e+00  5.0120e-03  
1.6670e+02  3.7860e+00  5.0110e-03  
1.6840e+02  3.7640e+00  4.9910e-03  
1.7010e+02  3.7450e+00  4.9750e-03  
1.7180e+02  3.7230e+00  4.9630e-03  
1.7350e+02  3.6960e+00  4.9440e-03  
1.7530e+02  3.6740e+00  4.9260e-03  
1.7700e+02  3.6500e+00  4.9120e-03  
1.7880e+02  3.6300e+00  4.9100e-03  
1.8060e+02  3.6100e+00  4.8930e-03  
1.8240e+02  3.5920e+00  4.8760e-03  
1.8430e+02  3.5740e+00  4.8740e-03  
1.8610e+02  3.5520e+00  4.8650e-03  
1.8800e+02  3.5280e+00  4.8450e-03  
1.8990e+02  3.5150e+00  4.8420e-03  
1.9180e+02  3.5010e+00  4.8430e-03  
1.9370e+02  3.4850e+00  4.8330e-03  
1.9570e+02  3.4670e+00  4.8250e-03  
1.9760e+02  3.4470e+00  4.8200e-03  
1.9960e+02  3.4350e+00  4.8180e-03  
2.0160e+02  3.4210e+00  4.8070e-03  
2.0360e+02  3.4100e+00  4.8030e-03  
2.0570e+02  3.3920e+00  4.8060e-03  
2.0770e+02  3.3750e+00  4.8030e-03  
2.0980e+02  3.3690e+00  4.7980e-03  
2.1190e+02  3.3550e+00  4.7940e-03  
2.1410e+02  3.3450e+00  4.7940e-03  
2.1620e+02  3.3330e+00  4.7930e-03  
2.1840e+02  3.3230e+00  4.7920e-03  
2.2060e+02  3.3140e+00  4.7950e-03  
2.2280e+02  3.3010e+00  4.7970e-03  
2.2510e+02  3.2910e+00  4.8010e-03  
2.2730e+02  3.2860e+00  4.7990e-03  
2.2960e+02  3.2770e+00  4.8000e-03  
2.3190e+02  3.2720e+00  4.8050e-03  
2.3420e+02  3.2650e+00  4.8110e-03  
2.3660e+02  3.2570e+00  4.8150e-03  
2.3900e+02  3.2540e+00  4.8220e-03  
2.4140e+02  3.2480e+00  4.8240e-03  
2.4380e+02  3.2400e+00  4.8330e-03  
2.4620e+02  3.2300e+00  4.8370e-03  
2.4870e+02  3.2210e+00  4.8420e-03  
2.5120e+02  3.2170e+00  4.8500e-03  
2.5370e+02  3.2100e+00  4.8590e-03  
2.5630e+02  3.2070e+00  4.8690e-03  
2.5890e+02  3.2050e+00  4.8740e-03  
2.6150e+02  3.2090e+00  4.8800e-03  
2.6410e+02  3.2050e+00  4.8870e-03  
2.6680e+02  3.2000e+00  4.9010e-03  
2.6940e+02  3.2010e+00  4.9160e-03  
2.7210e+02  3.2000e+00  4.9250e-03  
2.7490e+02  3.1930e+00  4.9300e-03  
2.7760e+02  3.1850e+00  4.9320e-03  
2.8040e+02  3.1810e+00  4.9400e-03  
2.8330e+02  3.1820e+00  4.9540e-03  
2.8610e+02  3.1870e+00  4.9710e-03  
2.8900e+02  3.1920e+00  4.9810e-03  
2.9190e+02  3.1910e+00  4.9910e-03  
2.9480e+02  3.1930e+00  5.0140e-03  
2.9780e+02  3.1900e+00  5.0210e-03  
3.0080e+02  3.1940e+00  5.0300e-03  
3.0380e+02  3.1910e+00  5.0320e-03  
3.0680e+02  3.1930e+00  5.0440e-03  
3.0990e+02  3.1940e+00  5.0660e-03  
3.1300e+02  3.1960e+00  5.0780e-03  
3.1620e+02  3.1930e+00  5.0870e-03  
3.1940e+02  3.1980e+00  5.0940e-03  
3.2260e+02  3.1990e+00  5.1020e-03  
3.2580e+02  3.2030e+00  5.1150e-03  
3.2910e+02  3.2070e+00  5.1260e-03  
3.3240e+02  3.2080e+00  5.1350e-03  
3.3570e+02  3.2040e+00  5.1410e-03  
3.3910e+02  3.2070e+00  5.1490e-03  
3.4250e+02  3.2160e+00  5.1670e-03  
3.4600e+02  3.2200e+00  5.1840e-03  
3.4940e+02  3.2180e+00  5.1830e-03  
3.5300e+02  3.2250e+00  5.1880e-03  
3.5650e+02  3.2230e+00  5.1850e-03  
3.6010e+02  3.2260e+00  5.1940e-03  
3.6370e+02  3.2340e+00  5.2160e-03  
3.6740e+02  3.2340e+00  5.2190e-03  
3.7100e+02  3.2390e+00  5.2180e-03  
3.7480e+02  3.2390e+00  5.2160e-03  
3.7850e+02  3.2460e+00  5.2170e-03  
3.8230e+02  3.2510e+00  5.2230e-03  
3.8620e+02  3.2530e+00  5.2310e-03  
3.9010e+02  3.2600e+00  5.2330e-03  
3.9400e+02  3.2620e+00  5.2340e-03  
3.9800e+02  3.2690e+00  5.2340e-03  
4.0200e+02  3.2650e+00  5.2290e-03  
4.0600e+02  3.2660e+00  5.2350e-03  
4.1010e+02  3.2760e+00  5.2510e-03  
4.1420e+02  3.2790e+00  5.2620e-03  
4.1840e+02  3.2820e+00  5.2570e-03  
4.2260e+02  3.2880e+00  5.2530e-03  
4.2680e+02  3.2930e+00  5.2490e-03  
4.3110e+02  3.2970e+00  5.2580e-03  
4.3540e+02  3.3100e+00  5.2820e-03  
4.3980e+02  3.3130e+00  5.2990e-03  
4.4420e+02  3.3130e+00  5.3090e-03  
4.4870e+02  3.3170e+00  5.3200e-03  
4.5320e+02  3.3260e+00  5.3440e-03  
4.5780e+02  3.3320e+00  5.3750e-03  
4.6240e+02  3.3370e+00  5.4070e-03  
4.6700e+02  3.3430e+00  5.4440e-03  
4.7170e+02  3.3490e+00  5.4810e-03  
4.7640e+02  3.3570e+00  5.5210e-03  
4.8120e+02  3.3620e+00  5.5710e-03  
4.8610e+02  3.3680e+00  5.6300e-03  
4.9090e+02  3.3750e+00  5.6990e-03  
4.9590e+02  3.3860e+00  5.7780e-03  
5.0090e+02  3.3960e+00  3.4460e-02  
5.0590e+02  3.3990e+00  3.4510e-02  
5.1100e+02  3.3960e+00  3.4490e-02  
5.1610e+02  3.4010e+00  3.4570e-02  
5.2130e+02  3.4050e+00  3.4640e-02  
5.2650e+02  3.4080e+00  3.4690e-02  
5.3180e+02  3.4200e+00  3.4840e-02  
5.3720e+02  3.4250e+00  3.4930e-02  
5.4260e+02  3.4370e+00  3.5090e-02  
5.4800e+02  3.4490e+00  3.5260e-02  
5.5350e+02  3.4560e+00  3.5370e-02  
5.5910e+02  3.4600e+00  3.5470e-02  
